ITEM NAME,CATEGORY NAME,SKU,HSN,UNIT NAME,ALERT QTY,BRAND NAME,LOT NUMBER,PRICE BEFORE TAX,TAX NAME,TAX VALUE,TAX TYPE,SALES PRICE,OPENING STOCK,CUSTOM BARCODE,SELLER POINTS,ITEM DESCIPTION,DISCOUNT TYPE,DISCOUNT,MRP
Prozac 20mg 28tab,’нѕбн…,1,,Џб»…,1,,,86.39499664,Tax 15%,0,Exclusive,99.34999847,0,6281086002490,0,,,0,
Elocom0.1% 30g cream,’нѕбн…,1,,Џб»…,1,,,16.62599945,Tax 15%,0,Exclusive,19.95000076,0,0000017,0,,,0,
Elocom 0.1% 30g ointment,’нѕбн…,1,,Џб»…,1,,,16.62599945,Tax 15%,0,Exclusive,19.95000076,0,0000730180301,0,,,0,
Calmurid 100g Cream,’нѕбн…,1,,Џб»…,1,,,57.59999847,Tax 15%,15,Exclusive,72,0,3499320003544,0,,,0,
Lipobase 100gm Cream,’нѕбн…,1,,Џб»…,1,,,37.50299835,Tax 15%,15,Exclusive,45,0,8718692510289,0,,,0,
Mentex 125ml Syrp,’нѕбн…,1,,1,1,,,7.254000187,Tax 15%,0,Exclusive,11.69999981,0,6285147002429,0,,,0,
Cipralex 10mg 28tab,’нѕбн…,1,,Џб»…,1,,,76.95999908,Tax 15%,0,Exclusive,88.5,0,5702157150809,0,,,0,
Ticanase N.Spray,’нѕбн…,1,,»ќ«ќ,1,,,16,Tax 15%,0,Exclusive,20,0,6221076160588,0,,,0,
Avocaine 50ml Spray,’нѕбн…,1,,»ќ«ќ,1,,,15.68000031,Tax 15%,0,Exclusive,22.39999962,0,0106285095004643,0,,,0,
Xylocaine 50ml Spray,’нѕбн…,1,,»ќ«ќ,1,,,21.45999908,Tax 15%,0,Exclusive,25.75,0,7321839711084,0,,,0,
Apiflox Eye dps,’нѕбн…,1,,ёЎ—…,1,,,11.54300022,Tax 15%,0,Exclusive,13.85000038,0,0000026,0,,,0,
Optiflox Eye dps,’нѕбн…,1,,1,1,,,8.447999954,Tax 15%,0,Exclusive,12.80000019,0,6281269035086,0,,,0,
Oxacin Eye dps,’нѕбн…,1,,ёЎ—…,1,,,6.209000111,Tax 15%,0,Exclusive,7.449999809,0,6281080001024,0,,,0,
Oflox Eye dps,’нѕбн…,1,,ёЎ—…,1,,,11.2510004,Tax 15%,0,Exclusive,13.5,0,3705077015083,0,,,0,
Ciprocin Eye dps,’нѕбн…,1,,ёЎ—…,1,,,8.548000336,Tax 15%,0,Exclusive,13.14999962,0,6281080000966,0,,,0,
Humulin-N vial,’нѕбн…,1,,UNIT,1,,,44.62900162,Tax 15%,0,Exclusive,53.54999924,0,0000031,0,,,0,
Rinomist N. Spray,’нѕбн…,1,,»ќ«ќ,1,,,18.70000076,Tax 15%,0,Exclusive,34,0,0000033,0,,,0,
Seretide Diskus 100mcg,’нѕбн…,1,,»ќ«ќ,1,,,91.65599823,Tax 15%,0,Exclusive,105.4000015,0,0000034,0,,,0,
Cefim 400 mg 6cap,’нѕбн…,1,,√ё—«’,1,,,50.9620018,Tax 15%,0,Exclusive,61.15000153,0,0000035,0,,,0,
Humulin-R Vial,’нѕбн…,1,,Џб»…,1,,,44.62900162,Tax 15%,0,Exclusive,53.54999924,0,0000036,0,,,0,
Cefix 200mg 8cap,’нѕбн…,1,,1,1,,,23.53000069,Tax 15%,0,Exclusive,36.29999924,0,6251106401657,0,,,0,
Winex 200mg 8cap,’нѕбн…,1,,я»”жб,1,,,34.75500107,Tax 15%,0,Exclusive,49.65000153,0,0000038,0,,,0,
Winex 400mg 6Cap,’нѕбн…,1,,1,1,,,33.97499847,Tax 15%,0,Exclusive,67.94999695,0,6281102232580,0,,,0,
Zamur 500mg 10tab,’нѕбн…,1,,Џб»…,1,,,29.52300072,Tax 15%,0,Exclusive,37.84999847,0,7640118191424,0,,,0,
Cefurex 500mg 10tab,’нѕбн…,1,,√ё—«’,1,,,25.95599937,Tax 15%,0,Exclusive,36.04999924,0,6251160020405,0,,,0,
Daroxime 500mg 10tab,’нѕбн…,1,,√ё—«’,1,,,16.47500038,Tax 15%,0,Exclusive,32.95000076,0,6251107321015,0,,,0,
Erythrodar Forte 400mg Cap,’нѕбн…,1,,«ё—«’,1,,,8.541000366,Tax 15%,0,Exclusive,10.25,0,6251107019028,0,,,0,
Maxim 400mg 5tab,’нѕбн…,1,,1,1,,,40.90399933,Tax 15%,0,Exclusive,61.04999924,0,0000044,0,,,0,
Maxim 400mg 7tab,’нѕбн…,1,,1,1,,,43.41600037,Tax 15%,0,Exclusive,80.40000153,0,0000045,0,,,0,
Avalox 7tab,’нѕбн…,1,,«ё—«’,1,,,95.71600342,Tax 15%,0,Exclusive,114.8499985,0,0000046,0,,,0,
Cefodox 200mg tab,’нѕбн…,1,,«ё—«’,1,,,48.26499939,Tax 15%,0,Exclusive,68.94999695,0,6251106400476,0,,,0,
Ospexin 500mg tab,’нѕбн…,1,,«ё—«’,1,,,29.12700081,Tax 15%,0,Exclusive,34.95000076,0,0000048,0,,,0,
Meiact 200mg tab,’нѕбн…,1,,«ё—«’,1,,,69.30699921,Tax 15%,0,Exclusive,79.69999695,0,6281102231682,0,,,0,
Tarivid 200mg tab,’нѕбн…,1,,1,1,,,28.34199905,Tax 15%,0,Exclusive,38.29999924,0,3582910040361,0,,,0,
Tetracycline 250mg cap,’нѕбн…,1,,Џб»…,1,,,11.33399963,Tax 15%,0,Exclusive,13.60000038,0,0000051,0,,,0,
Vi-De3 dps,’нѕбн…,1,,Џб»…,1,,,6.894999981,Tax 15%,0,Exclusive,9.850000381,0,0000054,0,,,0,
Cipromax 500mg tab,’нѕбн…,1,,Џб»…,1,,,31.02499962,Tax 15%,0,Exclusive,62.04999924,0,6281086001226,0,,,0,
Cipromax 250mg tab,’нѕбн…,1,,Џб»…,1,,,31.54400063,Tax 15%,0,Exclusive,37.84999847,0,6281086001219,0,,,0,
Bactall 500mg tab,’нѕбн…,1,,Џб»…,1,,,12.86999989,Tax 15%,0,Exclusive,23.39999962,0,0000057,0,,,0,
Ciprocin 500mg tab,’нѕбн…,1,,1,1,,,18.62400055,Tax 15%,0,Exclusive,29.10000038,0,6221032115591,0,,,0,
Cipromid 500mg tab,’нѕбн…,1,,Џб»…,1,,,14.20899963,Tax 15%,0,Exclusive,17.04999924,0,0000059,0,,,0,
Cipropharm 250mg tab,’нѕбн…,1,,Џб»…,1,,,8.126000404,Tax 15%,0,Exclusive,9.75,0,6251106402845,0,,,0,
Diclogesic 12.5mg supp,’нѕбн…,1,,1,1,,,2.529999971,Tax 15%,0,Exclusive,4.599999905,0,6251107130013,0,,,0,
Septrin tab,’нѕбн…,1,,Џб»…,1,,,15.16800022,Tax 15%,0,Exclusive,18.20000076,0,0000062,0,,,0,
Sarf 500mg tab,’нѕбн…,1,,1,1,,,46.54499817,Tax 15%,0,Exclusive,55.84999847,0,6291100083268,0,,,0,
Clarimac 500mg tab,’нѕбн…,1,,1,1,,,32.23500061,Tax 15%,0,Exclusive,46.04999924,0,6281080001710,0,,,0,
Klacid 500mg XL 14tab,’нѕбн…,1,,1,1,,,71.6309967,Tax 15%,0,Exclusive,85.94999695,0,0000066,0,,,0,
Claritt 500mg  XL  14tab,’нѕбн…,1,,1,1,,,33.08200073,Tax 15%,0,Exclusive,60.15000153,0,6281102233266,0,,,0,
Claritt 500mg XL 7tab,’нѕбн…,1,,Џб»…,1,,,30.25600052,Tax 15%,0,Exclusive,48.79999924,0,6281102232337,0,,,0,
Clamycin 500mg tab,’нѕбн…,1,,1,1,,,41.04800034,Tax 15%,0,Exclusive,63.15000153,0,6291100081790,0,,,0,
Keflex 500mg tab,’нѕбн…,1,,1,1,,,25.06500053,Tax 15%,0,Exclusive,40.09999847,0,6281086001332,0,,,0,
Cephalex 500mg cap,’нѕбн…,1,,Џб»е,1,,,27.04400063,Tax 15%,0,Exclusive,32.45000076,0,6281102230104,0,,,0,
Cloracef Forte 500mg cap,’нѕбн…,1,,Џб»…,1,,,29.09399986,Tax 15%,0,Exclusive,55.95000076,0,6251107055019,0,,,0,
Midroxil 500mg cap,’нѕбн…,1,,Џб»…,1,,,16.04299927,Tax 15%,0,Exclusive,19.25,0,0000074,0,,,0,
Cefadril 500mg cap,’нѕбн…,1,,Џб»…,1,,,14.45899963,Tax 15%,0,Exclusive,17.35000038,0,0000075,0,,,0,
Tabiclor 500mg cap,’нѕбн…,1,,Џб»…,1,,,44.54499817,Tax 15%,0,Exclusive,53.45000076,0,0000076,0,,,0,
Augmentin 375mg 20tab,’нѕбн…,1,,Џб»…,1,,,25.72500038,Tax 15%,0,Exclusive,36.75,0,6285063000073,0,,,0,
Julmentin 2X 1000mg tab,’нѕбн…,1,,1,1,,,34.70500183,Tax 15%,0,Exclusive,63.09999847,0,6291100081714,0,,,0,
Silvikrin Shampoo 700ml,’нѕбн…,2,,Џб»…,2,,,22.5,Tax 15%,15,Exclusive,29,0,0000079,0,,,0,
Avotin-A 30gm 0.05%cr,’нѕбн…,1,,Џб»…,1,,,6.041999817,Tax 15%,0,Exclusive,15.89999962,0,6284000000091,0,,,0,
Clavodar 1gm tab,’нѕбн…,1,,1,1,,,20.06999969,Tax 15%,0,Exclusive,44.59999847,0,6251107241016,0,,,0,
Clavodar 625mg tab,’нѕбн…,1,,Џб»…,1,,,11.40799999,Tax 15%,0,Exclusive,24.79999924,0,6251107239020,0,,,0,
Hymox 500mg 20cap,’нѕбн…,1,,1,1,,,13.33199978,Tax 15%,0,Exclusive,40.40000153,0,6281086000793,0,,,0,
Hymox 250mg 20caps,’нѕбн…,1,,1,1,,,12.92800045,Tax 15%,0,Exclusive,20.20000076,0,6281086000786,0,,,0,
Hymox BID 875mg tab,’нѕбн…,1,,1,1,,,25.89599991,Tax 15%,0,Exclusive,40.40000153,0,6281086002551,0,,,0,
Amoxydar 250mg cap,’нѕбн…,1,,Џб»…,1,,,4.34499979,Tax 15%,0,Exclusive,7.300000191,0,6251107047021,0,,,0,
Apo-Doxy 100mg cap,’нѕбн…,1,,Џб»…,1,,,21.85700035,Tax 15%,0,Exclusive,28.85000038,0,0000089,0,,,0,
Diflucan 150mg cap,’нѕбн…,1,,Џб»…,1,,,17.50499916,Tax 15%,0,Exclusive,19.45000076,0,0000090,0,,,0,
Candivast 150mg cap,’нѕбн…,1,,1,1,,,12.56999969,Tax 15%,0,Exclusive,20.95000076,0,6251159000456,0,,,0,
Flocazole 150mg 1cap,’нѕбн…,1,,Џб»…,1,,,18.47999954,Tax 15%,0,Exclusive,28,0,6281086002018,0,,,0,
Tracon 100mg 4cap,’нѕбн…,1,,Џб»…,1,,,21.59900093,Tax 15%,0,Exclusive,31.10000038,0,6281086002070,0,,,0,
Dorofen 40cap,’нѕбн…,1,,1,1,,,27.66399956,Tax 15%,0,Exclusive,36.40000153,0,610644193114,0,,,0,
Glucosamine plus 30tab,’нѕбн…,1,,1,1,,,22.93199921,Tax 15%,0,Exclusive,27.29999924,0,6281080006524,0,,,0,
Champix 0.5&1mg tab,’нѕбн…,1,,Џб»…,1,,,154.6580048,Tax 15%,0,Exclusive,177.8500061,0,5013457019636,0,,,0,
Reparil 40dragees,’нѕбн…,1,,Џб»…,1,,,17.16799927,Tax 15%,0,Exclusive,20.60000038,0,0000097180101,0,,,0,
Xeractan 10mg cap,’нѕбн…,1,,Џб»…,1,,,56,Tax 15%,0,Exclusive,76.09999847,0,0000101,0,,,0,
Eltroxin 50mcg tab,’нѕбн…,1,,Џб»…,1,,,16.66799927,Tax 15%,0,Exclusive,20,0,6091403211852,0,,,0,
Eltroxin 100mcg tab,’нѕбн…,1,,Џб»…,1,,,14.66600037,Tax 15%,0,Exclusive,20,0,6091403211869,0,,,0,
Euthyrox 100mcg tab,’нѕбн…,1,,Џб»…,1,,,26.12700081,Tax 15%,0,Exclusive,31.35000038,0,0000104,0,,,0,
Betaserc 16mg tab,’нѕбн…,1,,Џб»…,1,,,41.91999817,Tax 15%,0,Exclusive,50.29999924,0,0000105,0,,,0,
Betagen 16mg tab,’нѕбн…,1,,Џб»…,1,,,20.82299995,Tax 15%,0,Exclusive,31.54999924,0,6281080001284,0,,,0,
Dizinil tab,’нѕбн…,1,,1,1,,,7.834000111,Tax 15%,0,Exclusive,9.399999619,0,0000107,0,,,0,
Fusiderm cream,’нѕбн…,1,,Џб»…,1,,,8.701000214,Tax 15%,0,Exclusive,11.35000038,0,6281086001196,0,,,0,
Balad oint,’нѕбн…,1,,1,1,,,4.09499979,Tax 15%,0,Exclusive,9.100000381,0,6281080001840,0,,,0,
Detrusitol 2mg tab,’нѕбн…,1,,Џб»…,1,,,84.91600037,Tax 15%,0,Exclusive,97.65000153,0,0000110,0,,,0,
Lustral 50mg tab,’нѕбн…,1,,Џб»…,1,,,86.12999725,Tax 15%,0,Exclusive,95.69999695,0,6281086000618,0,,,0,
Entapro 10mg tab,’нѕбн…,1,,Џб»…,1,,,47.37599945,Tax 15%,0,Exclusive,75.19999695,0,6281086002674,0,,,0,
Entapro 20mg tab,’нѕбн…,1,,Џб»…,1,,,77.70999908,Tax 15%,0,Exclusive,123.3499985,0,6281086002681,0,,,0,
Paroxat 10mg tab,’нѕбн…,1,,1,1,,,22.61199951,Tax 15%,0,Exclusive,30.14999962,0,6281086002483,0,,,0,
Paroxat 30mg tab,’нѕбн…,1,,1,1,,,57.90499878,Tax 15%,0,Exclusive,78.25,0,6281086002469,0,,,0,
Lejam 60mg 4tab,’нѕбн…,1,,Џб»…,1,,,36.84999847,Tax 15%,0,Exclusive,67,0,0000116,0,,,0,
Ridone 2mg tab,’нѕбн…,1,,Џб»…,1,,,75.39399719,Tax 15%,0,Exclusive,86.69999695,0,0000118,0,,,0,
Hydergin 1.5mg tab,’нѕбн…,1,,Џб»…,1,,,43.54999924,Tax 15%,0,Exclusive,52.25,0,0000119,0,,,0,
Betamet 10gm oint,’нѕбн…,1,,1,1,,,3.869999886,Tax 15%,0,Exclusive,5.150000095,0,6281086000328,0,,,0,
Zithromax 300mg/7.5ml susp,’нѕбн…,1,,Џб»е,1,,,31.82799911,Tax 15%,0,Exclusive,43.59999847,0,0000122161101,0,,,0,
Rofenac 50gm gel,’нѕбн…,1,,Џб»…,1,,,6.993999958,Tax 15%,0,Exclusive,13.44999981,0,6281086000663,0,,,0,
Humalog 100U\ml KwikPen,’нѕбн…,1,,1,1,,,83.97499847,Tax 15%,0,Exclusive,167.9499969,0,0000124,0,,,0,
Muscleze 75gm  gel,’нѕбн…,1,,Џб»…,1,,,22.29299927,Tax 15%,0,Exclusive,26.75,0,9332986000011,0,,,0,
Bisolvon 8mg tab,’нѕбн…,1,,Џб»…,1,,,9.916999817,Tax 15%,0,Exclusive,11.89999962,0,3704367070108,0,,,0,
Ezolvin 8mg tab,’нѕбн…,1,,Џб»…,1,,,4.875,Tax 15%,0,Exclusive,6.5,0,3704500367010,0,,,0,
Vascodipine 5mg 30tab,’нѕбн…,1,,Џб»…,1,,,25.71699905,Tax 15%,0,Exclusive,43.20000076,0,6281080003264,0,,,0,
Prex 75mg 14cap,’нѕбн…,1,,Џб»…,1,,,32.17499924,Tax 15%,0,Exclusive,37,0,0000131,0,,,0,
Profinal 400mg 24tab,’нѕбн…,1,,1,1,,,7.724999905,Tax 15%,0,Exclusive,12.05000019,0,6291100080137,0,,,0,
Fevadol 145ml syp,’нѕбн…,1,,1,1,,,8.342000008,Tax 15%,0,Exclusive,10.05000019,0,6281086000939,0,,,0,
Fusiderm oint,’нѕбн…,1,,Џб»…,1,,,6.464000225,Tax 15%,0,Exclusive,10.10000038,0,6281086001189,0,,,0,
Paxitab 20mg 30tab,’нѕбн…,1,,Џб»…,1,,,27.14999962,Tax 15%,0,Exclusive,54.29999924,0,0000135,0,,,0,
Voltaren 75mg 3amp,’нѕбн…,1,,1,1,,,19.95499992,Tax 15%,0,Exclusive,30.70000076,0,3711500001653,0,,,0,
Aspirin Protect 100mg 60tab,’нѕбн…,1,,1,1,,,15.8760004,Tax 15%,0,Exclusive,19.04999924,0,0000140,0,,,0,
Voltaren 50gm emulgel,’нѕбн…,1,,Џб»е,1,,,14.32199955,Tax 15%,0,Exclusive,17.04999924,0,0000141,0,,,0,
Otrivin Menthol 0.1% N.Spray,’нѕбн…,1,,1,1,,,11.5010004,Tax 15%,0,Exclusive,13.80000019,0,0000142,0,,,0,
S-26 Progress Gold 400gm,’нѕбн…,5,,Џб»…,5,,,33.77399826,Tax 15%,15,Exclusive,35.65200043,0,7613287819062,0,,,0,
Olfen 50mg tab,’нѕбн…,1,,1,1,,,10.33399963,Tax 15%,0,Exclusive,12.39999962,0,7640153080660,0,,,0,
Profenid L.P.200mg tab,’нѕбн…,1,,Џб»е,1,,,29.08600044,Tax 15%,0,Exclusive,34.90000153,0,3582910027836,0,,,0,
Diclogesic Retard 100 Cap,’нѕбн…,1,,Џб»е,1,,,5.027999878,Tax 15%,0,Exclusive,17.20000076,0,6251107057013,0,,,0,
Diclogesic Retard 50 Cap,’нѕбн…,1,,Џб»е,1,,,14.33399963,Tax 15%,0,Exclusive,17.20000076,0,0000152,0,,,0,
PARAFON 30Cap,’нѕбн…,1,,1,1,,,13.7159996,Tax 15%,0,Exclusive,25.39999962,0,6281080002380,0,,,0,
Fast-Flam 50 tab,’нѕбн…,1,,1,1,,,12.93599987,Tax 15%,0,Exclusive,26.95000076,0,6281236022033,0,,,0,
Riaproxen 500mg tab,’нѕбн…,1,,Џб»е,1,,,15.59300041,Tax 15%,0,Exclusive,28.35000038,0,6281080003141,0,,,0,
PROF 600 mg tab,’нѕбн…,1,,1,1,,,6.915999889,Tax 15%,0,Exclusive,13.05000019,0,0000156171201,0,,,0,
Voltaren 50mg tab,’нѕбн…,1,,1,1,,,15.92000008,Tax 15%,0,Exclusive,19.89999962,0,3711500001639,0,,,0,
Voltaren retard 100mg tab,’нѕбн…,1,,1,1,,,18.01799965,Tax 15%,0,Exclusive,27.29999924,0,3711500001677,0,,,0,
Sapofen 600mg tab,’нѕбн…,1,,1,1,,,13.05000019,Tax 15%,0,Exclusive,17.39999962,0,6281086001066,0,,,0,
Sapofen 400mg tab,’нѕбн…,1,,1,1,,,5.400000095,Tax 15%,0,Exclusive,10,0,6281086000250,0,,,0,
Divido 75mg cap,’нѕбн…,1,,Џб»е,1,,,16.85700035,Tax 15%,0,Exclusive,30.64999962,0,6281102230593,0,,,0,
Cataflam 50 mg 20 tab,’нѕбн…,1,,1,1,,,25.33300018,Tax 15%,0,Exclusive,31.70000076,0,3711500000571,0,,,0,
Xefo 8mg tab,’нѕбн…,1,,1,1,,,18.14500046,Tax 15%,0,Exclusive,23.95000076,0,6281936131813,0,,,0,
Brufen 600mg tab,’нѕбн…,1,,Џб»е,1,,,14.66300011,Tax 15%,0,Exclusive,19.54999924,0,0000164171101,0,,,0,
Brufen 400mg tab,’нѕбн…,1,,1,1,,,10.19999981,Tax 15%,0,Exclusive,13.60000038,0,0000165,0,,,0,
Arcoxia 120mg 7 tab,’нѕбн…,1,,Џб»е,1,,,14.13599968,Tax 15%,0,Exclusive,18.60000038,0,3707715010139,0,,,0,
canselled Arcoxia 90mg,’нѕбн…,1,,1,1,,,161.9199982,Tax 15%,0,Exclusive,186.1999969,0,3707714010130,0,,,0,
Voltaren 100mg supp,’нѕбн…,1,,Џб»е,1,,,15.16800022,Tax 15%,0,Exclusive,18.20000076,0,0000169180301,0,,,0,
Prex 50 mg,’нѕбн…,1,,Џб»е,1,,,20.87700081,Tax 15%,0,Exclusive,25.04999924,0,0000170,0,,,0,
Prex 75 mg,’нѕбн…,1,,Џб»е,1,,,61.67200089,Tax 15%,0,Exclusive,74,0,6281900001616,0,,,0,
Prex 150 mg,’нѕбн…,1,,Џб»е,1,,,38.37799835,Tax 15%,0,Exclusive,92.09999847,0,6281900001630,0,,,0,
Sirdalud 4mg tab,’нѕбн…,1,,Џб»е,1,,,32.00299835,Tax 15%,0,Exclusive,38.40000153,0,0000175,0,,,0,
Sirdalud 2 mg tab,’нѕбн…,1,,Џб»е,1,,,15.6260004,Tax 15%,0,Exclusive,18.75,0,3711500001431,0,,,0,
Xefo inject,’нѕбн…,1,,1,1,,,13.29300022,Tax 15%,0,Exclusive,15.94999981,0,6281900054674,0,,,0,
Votrex 50mg tab,’нѕбн…,1,,1,1,,,3.894999981,Tax 15%,0,Exclusive,10.25,0,6251065012062,0,,,0,
Relaxon 30cap,’нѕбн…,1,,1,1,,,13.76599979,Tax 15%,0,Exclusive,24.14999962,0,6281204015654,0,,,0,
Paraxone cap,’нѕбн…,1,,Џб»е,1,,,10.01000023,Tax 15%,0,Exclusive,14.30000019,0,6281904015657,0,,,0,
Voltic.D 50mg tab,’нѕбн…,1,,1,1,,,13.72000027,Tax 15%,0,Exclusive,19.60000038,0,0000183,0,,,0,
Prof 400mg tab,’нѕбн…,1,,Џб»е,1,,,6.355999947,Tax 15%,0,Exclusive,11.35000038,0,0000184180201,0,,,0,
Mobic 7.5mg 10tab,’нѕбн…,1,,1,1,,,8.680000305,Tax 15%,0,Exclusive,10.85000038,0,3704336020073,0,,,0,
Mobic 15mg 10-tab,’нѕбн…,1,,1,1,,,12.33399963,Tax 15%,0,Exclusive,14.80000019,0,0001683170401,0,,,0,
Tylenol Forte tab,’нѕбн…,1,,1,1,,,3.775000095,Tax 15%,0,Exclusive,7.550000191,0,0000187,0,,,0,
Panadol  Extra 24tab,’нѕбн…,1,,Џб»е,1,,,6.880000114,Tax 15%,0,Exclusive,8,0,08815408,0,,,0,
Panadol Extend 18tab,’нѕбн…,1,,Џб»е,1,,,13.1260004,Tax 15%,0,Exclusive,15.75,0,9502830971013,0,,,0,
Panadol Actifast 20tab,’нѕбн…,1,,Џб»е,1,,,6.625999928,Tax 15%,0,Exclusive,9.149999619,0,08817600,0,,,0,
Panadrex 24tab,’нѕбн…,1,,1,1,,,3.119999886,Tax 15%,0,Exclusive,3.900000095,0,3704500312010,0,,,0,
Fevadol 20tab,’нѕбн…,1,,Џб»е,1,,,3.5,Tax 15%,0,Exclusive,4.199999809,0,6281086000090,0,,,0,
Fevadol Extra 20tab,’нѕбн…,1,,1,1,,,4.639999866,Tax 15%,0,Exclusive,5.800000191,0,6281086000922,0,,,0,
Feldene 20mg,’нѕбн…,1,,Џб»е,1,,,18.75399971,Tax 15%,0,Exclusive,22.5,0,6281086000472,0,,,0,
Adol Extra 24tab,’нѕбн…,1,,1,1,,,4.75,Tax 15%,0,Exclusive,5.699999809,0,6291100080557,0,,,0,
Oflam 50 mg tab,’нѕбн…,1,,1,1,,,14.35000038,Tax 15%,0,Exclusive,20.5,0,6281900000121,0,,,0,
Oflam 50mg sachets,’нѕбн…,1,,Џб»е,1,,,11.47999954,Tax 15%,0,Exclusive,20.5,0,6281936154416,0,,,0,
Profinal 600mg 20tab,’нѕбн…,1,,Џб»е,1,,,6.400000095,Tax 15%,0,Exclusive,10.75,0,0000200,0,,,0,
Asprin-c eff. tab,’нѕбн…,1,,1,1,,,6.791999817,Tax 15%,0,Exclusive,8.149999619,0,0000202,0,,,0,
Dicolomax 50mg tab,’нѕбн…,1,,Џб»е,1,,,19.50200081,Tax 15%,0,Exclusive,23.39999962,0,0000203,0,,,0,
Emifenac 50 DT tab,’нѕбн…,1,,1,1,,,6.032000065,Tax 15%,0,Exclusive,18.85000038,0,6291103730459,0,,,0,
Rofenac-D disp. tab,’нѕбн…,1,,1,1,,,16.25300026,Tax 15%,0,Exclusive,29.54999924,0,6281086000458,0,,,0,
Rofenac 50 mg tab,’нѕбн…,1,,1,1,,,11.88000011,Tax 15%,0,Exclusive,19.79999924,0,6281086000120,0,,,0,
Rapidus 25mg tab,’нѕбн…,1,,Џб»е,1,,,11.14700031,Tax 15%,0,Exclusive,17.14999962,0,6281102230173,0,,,0,
Rofenac S.R 100mg tab,’нѕбн…,1,,Џб»е,1,,,11.99600029,Tax 15%,0,Exclusive,23.75,0,6281086000229,0,,,0,
Rapidus 50mg tab,’нѕбн…,1,,1,1,,,15.13199997,Tax 15%,0,Exclusive,29.10000038,0,6281102230197,0,,,0,
Rofenac 25mg supp,’нѕбн…,1,,Џб»е,1,,,7.581999779,Tax 15%,0,Exclusive,11.14999962,0,6281086002162,0,,,0,
Mafepain tab,’нѕбн…,1,,1,1,,,7.159999847,Tax 15%,0,Exclusive,8.949999809,0,6281086000991,0,,,0,
Ponstan Forte 500mg tab,’нѕбн…,1,,1,1,,,13.46399975,Tax 15%,0,Exclusive,15.30000019,0,0000213,0,,,0,
Soolan syp,’нѕбн…,1,,1,1,,,4.03000021,Tax 15%,0,Exclusive,6.199999809,0,6291100080298,0,,,0,
Jos-Pan Syrp,’нѕбн…,1,,1,1,,,13.25300026,Tax 15%,0,Exclusive,39.75,0,6251649000232,0,,,0,
Panadrex syrp,’нѕбн…,1,,1,1,,,2.924000025,Tax 15%,0,Exclusive,4.300000191,0,3704500454024,0,,,0,
Prospan syrp,’нѕбн…,1,,1,1,,,24.88500023,Tax 15%,0,Exclusive,39.5,0,4104480705311,0,,,0,
Expan 100ml syp,’нѕбн…,1,,1,1,,,0.100000001,Tax 15%,0,Exclusive,39.65000153,0,6251599002713,0,,,0,
Ezipan syrp,’нѕбн…,1,,Џб»е,1,,,14.27400017,Tax 15%,0,Exclusive,39.65000153,0,6285147001101,0,,,0,
Unifed syrp,’нѕбн…,1,,Џб»е,1,,,2.459000111,Tax 15%,0,Exclusive,2.950000048,0,0000223,0,,,0,
